"constituencyID","partyP","partyScore","partyNumber","partyName","partyColor","key","provinceID","provinceNumber","provinceName","section"
"ACR_1",750,35,15,"กรีน","#69c80a","ACR_1_15","ACR","37","อำนาจเจริญ","North East"
"ACR_1",726,33892,31,"ก้าวไกล","#f47526","ACR_1_31","ACR","37","อำนาจเจริญ","North East"
"ACR_1",714,298,6,"ครูไทยเพื่อประชาชน","#175a38","ACR_1_6","ACR","37","อำนาจเจริญ","North East"
"ACR_1",742,36,61,"คลองไทย","#0eafeb","ACR_1_61","ACR","37","อำนาจเจริญ","North East"
"ACR_1",703,67,60,"ความหวังใหม่","#e6b750","ACR_1_60","ACR","37","อำนาจเจริญ","North East"
"ACR_1",725,32,59,"ช่วยชาติ","#8b85ad","ACR_1_59","ACR","37","อำนาจเจริญ","North East"
"ACR_1",707,76,18,"ชาติไทยพัฒนา","#ff72a8","ACR_1_18","ACR","37","อำนาจเจริญ","North East"
"ACR_1",706,132,14,"ชาติพัฒนากล้า","#233e8a","ACR_1_14","ACR","37","อำนาจเจริญ","North East"
"ACR_1",783,11,52,"ชาติรุ่งเรือง","#9cb4c9","ACR_1_52","ACR","37","อำนาจเจริญ","North East"
"ACR_1",717,10,46,"ถิ่นกาขาวชาววิไล","#fb04fb","ACR_1_46","ACR","37","อำนาจเจริญ","North East"
"ACR_1",776,131,4,"ท้องที่ไทย","#9c9084","ACR_1_4","ACR","37","อำนาจเจริญ","North East"
"ACR_1",727,298,30,"ทางเลือกใหม่","#026aec","ACR_1_30","ACR","37","อำนาจเจริญ","North East"
"ACR_1",780,133,55,"ไทยก้าวหน้า","#b9bee3","ACR_1_55","ACR","37","อำนาจเจริญ","North East"
"ACR_1",771,104,13,"ไทยชนะ","#ceb88a","ACR_1_13","ACR","37","อำนาจเจริญ","North East"
"ACR_1",732,110,41,"ไทยธรรม","#ec5c2c","ACR_1_41","ACR","37","อำนาจเจริญ","North East"
"ACR_1",775,26,33,"ไทยเป็นหนึ่ง","#7e529d","ACR_1_33","ACR","37","อำนาจเจริญ","North East"
"ACR_1",736,430,28,"ไทยพร้อม","#b7f2a5","ACR_1_28","ACR","37","อำนาจเจริญ","North East"
"ACR_1",769,197,21,"ไทยภักดี","#CBBA01","ACR_1_21","ACR","37","อำนาจเจริญ","North East"
"ACR_1",758,168,12,"ไทยรวมไทย","#8c8dd2","ACR_1_12","ACR","37","อำนาจเจริญ","North East"
"ACR_1",733,109,42,"ไทยศรีวิไลย์","#a0afba","ACR_1_42","ACR","37","อำนาจเจริญ","North East"
"ACR_1",765,24,67,"ไทยสมาร์ท","#98dfb3","ACR_1_67","ACR","37","อำนาจเจริญ","North East"
"ACR_1",762,553,32,"ไทยสร้างไทย","#003dff","ACR_1_32","ACR","37","อำนาจเจริญ","North East"
"ACR_1",770,27,45,"แนวทางใหม่","#b7bfc7","ACR_1_45","ACR","37","อำนาจเจริญ","North East"
"ACR_1",702,185,63,"ประชากรไทย","#0f41ce","ACR_1_63","ACR","37","อำนาจเจริญ","North East"
"ACR_1",740,139,11,"ประชาชาติ","#a35f26","ACR_1_11","ACR","37","อำนาจเจริญ","North East"
"ACR_1",749,104,56,"ประชาไทย","#1d1376","ACR_1_56","ACR","37","อำนาจเจริญ","North East"
"ACR_1",712,408,2,"ประชาธิปไตยใหม่","#eb4138","ACR_1_2","ACR","37","อำนาจเจริญ","North East"
"ACR_1",701,4550,26,"ประชาธิปัตย์","#06aff3","ACR_1_26","ACR","37","อำนาจเจริญ","North East"
"ACR_1",728,47,40,"ประชาภิวัฒน์","#076350","ACR_1_40","ACR","37","อำนาจเจริญ","North East"
"ACR_1",747,219,3,"เป็นธรรม","#b5a89b","ACR_1_3","ACR","37","อำนาจเจริญ","North East"
"ACR_1",786,98,20,"เปลี่ยน","#cc898a","ACR_1_20","ACR","37","อำนาจเจริญ","North East"
"ACR_1",777,85,65,"เปลี่ยนอนาคต","#dead46","ACR_1_65","ACR","37","อำนาจเจริญ","North East"
"ACR_1",741,26,34,"แผ่นดินธรรม","#852e1c","ACR_1_34","ACR","37","อำนาจเจริญ","North East"
"ACR_1",781,325,9,"พลัง","#8e8fc7","ACR_1_9","ACR","37","อำนาจเจริญ","North East"
"ACR_1",724,23,62,"พลังไทยรักชาติ","#54c04c","ACR_1_62","ACR","37","อำนาจเจริญ","North East"
"ACR_1",731,112,27,"พลังธรรมใหม่","#e9b54a","ACR_1_27","ACR","37","อำนาจเจริญ","North East"
"ACR_1",722,32,66,"พลังประชาธิปไตย","#c4403a","ACR_1_66","ACR","37","อำนาจเจริญ","North East"
"ACR_1",743,942,37,"พลังประชารัฐ","#1f68dd","ACR_1_37","ACR","37","อำนาจเจริญ","North East"
"ACR_1",737,9,50,"พลังปวงชนไทย","#181f97","ACR_1_50","ACR","37","อำนาจเจริญ","North East"
"ACR_1",748,111,57,"พลังเพื่อไทย","#8384aa","ACR_1_57","ACR","37","อำนาจเจริญ","North East"
"ACR_1",767,30,16,"พลังสยาม","#69330a","ACR_1_16","ACR","37","อำนาจเจริญ","North East"
"ACR_1",715,24,43,"พลังสหกรณ์","#395a3d","ACR_1_43","ACR","37","อำนาจเจริญ","North East"
"ACR_1",745,12,53,"พลังสังคม","#c67328","ACR_1_53","ACR","37","อำนาจเจริญ","North East"
"ACR_1",761,672,5,"พลังสังคมใหม่","#eabcc3","ACR_1_5","ACR","37","อำนาจเจริญ","North East"
"ACR_1",721,134,24,"เพื่อชาติ","#6cb0a8","ACR_1_24","ACR","37","อำนาจเจริญ","North East"
"ACR_1",738,949,36,"เพื่อชาติไทย","#724a34","ACR_1_36","ACR","37","อำนาจเจริญ","North East"
"ACR_1",705,33576,29,"เพื่อไทย","#da3731","ACR_1_29","ACR","37","อำนาจเจริญ","North East"
"ACR_1",773,371,38,"เพื่อไทรวมพลัง","#a7b0ed","ACR_1_38","ACR","37","อำนาจเจริญ","North East"
"ACR_1",755,33,48,"เพื่ออนาคตไทย","#c591a9","ACR_1_48","ACR","37","อำนาจเจริญ","North East"
"ACR_1",723,8,54,"ภราดรภาพ","#0c5a38","ACR_1_54","ACR","37","อำนาจเจริญ","North East"
"ACR_1",752,119,19,"ภาคีเครือข่ายไทย","#f36e2d","ACR_1_19","ACR","37","อำนาจเจริญ","North East"
"ACR_1",709,9761,7,"ภูมิใจไทย","#0c149c","ACR_1_7","ACR","37","อำนาจเจริญ","North East"
"ACR_1",764,136,39,"มิติใหม่","#abc29d","ACR_1_39","ACR","37","อำนาจเจริญ","North East"
"ACR_1",784,215,23,"รวมใจไทย","#eec49a","ACR_1_23","ACR","37","อำนาจเจริญ","North East"
"ACR_1",763,7109,22,"รวมไทยสร้างชาติ","#aa2d38","ACR_1_22","ACR","37","อำนาจเจริญ","North East"
"ACR_1",739,17,47,"รวมแผ่นดิน","#d8df96","ACR_1_47","ACR","37","อำนาจเจริญ","North East"
"ACR_1",734,76,35,"รวมพลัง","#5a1b80","ACR_1_35","ACR","37","อำนาจเจริญ","North East"
"ACR_1",718,28,49,"รักษ์ผืนป่าประเทศไทย","#8dbf44","ACR_1_49","ACR","37","อำนาจเจริญ","North East"
"ACR_1",774,104,44,"ราษฎร์วิถี","#e6d7b8","ACR_1_44","ACR","37","อำนาจเจริญ","North East"
"ACR_1",779,493,8,"แรงงานสร้างชาติ","#633e7c","ACR_1_8","ACR","37","อำนาจเจริญ","North East"
"ACR_1",710,13,58,"สังคมประชาธิปไตยไทย","#d32524","ACR_1_58","ACR","37","อำนาจเจริญ","North East"
"ACR_1",751,7,51,"สามัญชน","#3c3c3c","ACR_1_51","ACR","37","อำนาจเจริญ","North East"
"ACR_1",729,18,64,"เส้นด้าย","#7c8480","ACR_1_64","ACR","37","อำนาจเจริญ","North East"
"ACR_1",768,32,17,"เสมอภาค","#ca146b","ACR_1_17","ACR","37","อำนาจเจริญ","North East"
"ACR_1",719,1168,25,"เสรีรวมไทย","#b49e31","ACR_1_25","ACR","37","อำนาจเจริญ","North East"
"ACR_1",778,211,1,"ใหม่","#8494b4","ACR_1_1","ACR","37","อำนาจเจริญ","North East"
"ACR_1",708,1723,10,"อนาคตไทย","#ad1b34","ACR_1_10","ACR","37","อำนาจเจริญ","North East"
"ACR_2",750,51,15,"กรีน","#69c80a","ACR_2_15","ACR","37","อำนาจเจริญ","North East"
"ACR_2",726,35581,31,"ก้าวไกล","#f47526","ACR_2_31","ACR","37","อำนาจเจริญ","North East"
"ACR_2",714,162,6,"ครูไทยเพื่อประชาชน","#175a38","ACR_2_6","ACR","37","อำนาจเจริญ","North East"
"ACR_2",742,29,61,"คลองไทย","#0eafeb","ACR_2_61","ACR","37","อำนาจเจริญ","North East"
"ACR_2",703,41,60,"ความหวังใหม่","#e6b750","ACR_2_60","ACR","37","อำนาจเจริญ","North East"
"ACR_2",725,25,59,"ช่วยชาติ","#8b85ad","ACR_2_59","ACR","37","อำนาจเจริญ","North East"
"ACR_2",707,78,18,"ชาติไทยพัฒนา","#ff72a8","ACR_2_18","ACR","37","อำนาจเจริญ","North East"
"ACR_2",706,77,14,"ชาติพัฒนากล้า","#233e8a","ACR_2_14","ACR","37","อำนาจเจริญ","North East"
"ACR_2",783,13,52,"ชาติรุ่งเรือง","#9cb4c9","ACR_2_52","ACR","37","อำนาจเจริญ","North East"
"ACR_2",717,12,46,"ถิ่นกาขาวชาววิไล","#fb04fb","ACR_2_46","ACR","37","อำนาจเจริญ","North East"
"ACR_2",776,219,4,"ท้องที่ไทย","#9c9084","ACR_2_4","ACR","37","อำนาจเจริญ","North East"
"ACR_2",727,591,30,"ทางเลือกใหม่","#026aec","ACR_2_30","ACR","37","อำนาจเจริญ","North East"
"ACR_2",780,142,55,"ไทยก้าวหน้า","#b9bee3","ACR_2_55","ACR","37","อำนาจเจริญ","North East"
